MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.460|+0.000|+0.108|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
002:+0.460|+0.000|+0.108|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
003:+0.478|+0.000|+0.108|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
004:+0.478|+0.000|+0.108|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
005:+0.460|+0.000|+0.126|+0.108|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
006:+0.442|+0.000|+0.108|+0.144|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
007:+0.478|+0.000|+0.090|+0.108|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
008:+0.496|+0.000|+0.108|+0.072|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
009:+0.460|+0.000|+0.144|+0.108|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
010:+0.424|+0.000|+0.108|+0.162|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
011:+0.478|+0.000|+0.072|+0.108|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
012:+0.514|+0.000|+0.108|+0.054|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
013:+0.460|+0.000|+0.162|+0.108|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
014:+0.406|+0.000|+0.108|+0.180|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
015:+0.478|+0.000|+0.054|+0.108|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
016:+0.532|+0.000|+0.108|+0.036|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
017:+0.460|+0.000|+0.180|+0.108|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
018:+0.387|+0.000|+0.108|+0.198|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
019:+0.477|+0.000|+0.036|+0.108|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
020:+0.549|+0.000|+0.108|+0.018|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
021:+0.459|+0.000|+0.198|+0.108|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
022:+0.369|+0.000|+0.108|+0.216|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
023:+0.477|+0.000|+0.018|+0.108|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
024:+0.567|+0.000|+0.108|+0.000|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
025:+0.459|+0.000|+0.216|+0.108|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
026:+0.351|+0.000|+0.109|+0.234|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
027:+0.477|+0.000|+0.001|+0.108|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
028:+0.585|+0.000|+0.109|-0.018|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
029:+0.459|+0.000|+0.235|+0.109|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
030:+0.333|+0.000|+0.109|+0.253|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
031:+0.476|+0.000|-0.017|+0.109|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
032:+0.602|+0.000|+0.109|-0.035|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
033:+0.458|+0.000|+0.253|+0.109|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
034:+0.314|+0.000|+0.109|+0.271|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
035:+0.476|+0.000|-0.035|+0.109|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
036:+0.620|+0.000|+0.109|-0.053|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
037:+0.458|+0.000|+0.271|+0.109|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
038:+0.296|+0.000|+0.109|+0.289|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
039:+0.476|+0.000|-0.053|+0.109|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
040:+0.638|+0.000|+0.109|-0.071|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
041:+0.457|+0.000|+0.289|+0.109|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
042:+0.277|+0.000|+0.109|+0.307|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
043:+0.475|+0.000|-0.071|+0.109|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
044:+0.655|+0.000|+0.109|-0.089|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
045:+0.457|+0.000|+0.307|+0.109|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
046:+0.259|+0.000|+0.109|+0.325|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
047:+0.475|+0.000|-0.089|+0.109|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
048:+0.673|+0.000|+0.110|-0.107|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
049:+0.456|+0.000|+0.326|+0.109|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|-0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
