H0|H0'|E|1|1_p1|1_p2|partial1|
001:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
002:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
003:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
004:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
005:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
006:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
007:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
008:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
009:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
010:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
011:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
012:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
013:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
014:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
015:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
016:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
017:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
018:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
019:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
020:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
021:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
022:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
023:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
024:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
025:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
026:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
027:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
028:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
029:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
030:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
031:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
032:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
033:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
034:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
035:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
036:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
037:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
038:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
039:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
040:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
041:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
042:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
043:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
044:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
045:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
046:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
