MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.004|+0.440|+0.673|+0.009|-0.207|-0.081|+0.013|+0.000|+0.009|+0.000|-0.062|-0.082|+1.605|+0.936|-0.065|-0.063|+0.020|+1.085|+1.514|
002:+0.017|+0.005|+0.431|+0.584|+0.016|-0.123|-0.083|-0.033|+0.021|+0.031|-0.006|-0.031|-0.042|+1.524|+0.948|-0.064|-0.054|+0.021|+1.023|+1.432|
003:+0.038|+0.006|+0.418|+0.545|+0.014|-0.106|-0.039|-0.033|+0.025|-0.008|-0.014|-0.020|-0.019|+1.440|+0.916|-0.043|-0.023|+0.014|+0.991|+1.390|
004:+0.045|+0.007|+0.407|+0.518|+0.013|-0.106|-0.029|-0.029|+0.013|+0.029|-0.008|+0.004|+0.001|+1.402|+0.883|-0.018|-0.031|-0.000|+0.971|+1.370|
005:+0.051|+0.006|+0.410|+0.529|+0.016|-0.118|+0.003|-0.015|+0.004|+0.017|+0.007|+0.009|+0.008|+1.372|+0.855|-0.005|-0.002|-0.008|+0.975|+1.371|
006:+0.045|+0.005|+0.412|+0.553|+0.014|-0.133|+0.013|+0.006|+0.008|+0.000|+0.006|+0.012|+0.014|+1.375|+0.840|-0.001|+0.015|-0.001|+0.984|+1.379|
007:+0.035|+0.004|+0.406|+0.557|+0.011|-0.139|+0.007|-0.011|+0.011|-0.003|-0.007|+0.007|+0.013|+1.388|+0.845|+0.007|+0.015|+0.005|+0.996|+1.393|
008:+0.040|+0.004|+0.410|+0.563|+0.011|-0.146|+0.026|+0.008|-0.006|-0.005|+0.004|+0.012|+0.013|+1.396|+0.835|+0.019|+0.013|-0.001|+1.003|+1.406|
009:+0.035|+0.005|+0.416|+0.582|+0.017|-0.152|+0.003|+0.005|-0.014|-0.007|-0.008|-0.006|+0.004|+1.422|+0.843|+0.013|+0.007|+0.002|+1.015|+1.419|
010:+0.040|+0.006|+0.427|+0.585|+0.014|-0.155|-0.001|-0.000|+0.007|+0.009|+0.003|-0.004|+0.007|+1.425|+0.848|-0.001|+0.001|-0.006|+1.009|+1.423|
011:+0.041|+0.005|+0.436|+0.588|+0.014|-0.146|+0.006|+0.014|-0.012|-0.017|-0.002|-0.003|-0.008|+1.424|+0.847|+0.006|+0.010|-0.002|+1.005|+1.430|
012:+0.035|+0.006|+0.431|+0.575|+0.013|-0.142|-0.003|+0.003|-0.005|+0.002|+0.002|+0.004|-0.004|+1.430|+0.861|-0.006|-0.007|-0.005|+1.002|+1.422|
