MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.004|+0.004|+0.005|+0.004|-0.000|-0.063|+0.002|+0.000|+0.004|+0.000|-0.058|-0.000|+1.605|+1.604|+0.000|-0.070|+0.000|+1.534|+1.604|
002:+0.001|+0.004|+0.004|+0.003|+0.004|+0.001|-0.047|-0.000|+0.000|+0.018|+0.001|-0.028|-0.000|+1.542|+1.605|+0.000|-0.066|+0.000|+1.476|+1.604|
003:+0.000|+0.004|+0.004|+0.004|+0.004|+0.000|-0.038|-0.001|-0.000|+0.031|-0.001|-0.005|+0.001|+1.495|+1.605|+0.000|-0.047|+0.001|+1.447|+1.604|
004:+0.001|+0.004|+0.004|+0.004|+0.004|-0.000|-0.036|-0.001|+0.000|+0.010|-0.000|-0.024|+0.000|+1.458|+1.604|+0.000|-0.016|-0.000|+1.442|+1.605|
005:+0.001|+0.005|+0.004|+0.005|+0.004|-0.003|-0.001|+0.002|+0.000|+0.026|+0.001|+0.020|-0.002|+1.421|+1.603|+0.000|-0.006|-0.001|+1.417|+1.605|
006:+0.001|+0.003|+0.005|+0.003|+0.005|+0.004|+0.009|-0.001|-0.000|-0.013|-0.001|+0.000|+0.001|+1.420|+1.605|+0.000|+0.020|+0.001|+1.438|+1.603|
007:+0.002|+0.004|+0.004|+0.004|+0.004|-0.001|+0.015|+0.000|-0.000|+0.008|+0.001|+0.022|-0.001|+1.429|+1.604|+0.000|+0.008|-0.001|+1.438|+1.605|
008:+0.001|+0.003|+0.004|+0.004|+0.004|+0.001|+0.008|+0.001|+0.000|-0.010|+0.001|-0.003|+0.000|+1.444|+1.604|-0.000|+0.016|-0.000|+1.460|+1.604|
009:+0.001|+0.004|+0.005|+0.004|+0.004|+0.001|+0.020|+0.000|-0.000|-0.006|-0.000|+0.016|+0.001|+1.452|+1.605|+0.000|+0.006|+0.000|+1.457|+1.604|
010:+0.001|+0.004|+0.004|+0.004|+0.004|-0.001|-0.006|-0.002|+0.000|+0.005|-0.001|-0.001|+0.001|+1.472|+1.605|-0.000|-0.000|-0.000|+1.473|+1.605|
011:+0.002|+0.003|+0.004|+0.005|+0.003|-0.002|+0.002|+0.001|+0.000|+0.004|+0.001|+0.005|-0.001|+1.466|+1.603|-0.000|+0.005|-0.001|+1.472|+1.605|
012:+0.001|+0.004|+0.004|+0.004|+0.004|+0.000|+0.001|-0.000|-0.000|-0.008|-0.000|-0.008|+0.001|+1.469|+1.605|+0.000|+0.009|+0.000|+1.477|+1.605|
013:+0.001|+0.003|+0.004|+0.004|+0.003|+0.000|-0.005|+0.001|+0.000|-0.003|+0.000|-0.006|+0.000|+1.470|+1.604|-0.000|+0.001|-0.000|+1.469|+1.605|
014:+0.000|+0.004|+0.004|+0.004|+0.003|+0.000|-0.003|-0.002|-0.000|+0.008|-0.000|+0.004|-0.001|+1.465|+1.605|+0.000|-0.002|+0.000|+1.463|+1.606|
