H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.609|+1.543|+0.000|-0.237|+0.799|+1.036|+1.506|
002:+1.551|+1.489|+0.000|-0.184|+0.774|+0.958|+1.401|
003:+1.492|+1.453|+0.000|-0.140|+0.746|+0.886|+1.339|
004:+1.447|+1.426|+0.000|-0.110|+0.743|+0.853|+1.319|
005:+1.431|+1.430|+0.000|-0.094|+0.745|+0.839|+1.322|
006:+1.426|+1.433|+0.000|-0.100|+0.750|+0.850|+1.339|
007:+1.434|+1.453|+0.000|-0.117|+0.746|+0.863|+1.366|
008:+1.443|+1.466|+0.000|-0.117|+0.745|+0.861|+1.377|
009:+1.459|+1.464|+0.000|-0.117|+0.753|+0.870|+1.382|
010:+1.463|+1.479|+0.000|-0.111|+0.753|+0.863|+1.395|
011:+1.475|+1.476|+0.000|-0.126|+0.762|+0.887|+1.387|
012:+1.484|+1.473|+0.000|-0.127|+0.758|+0.885|+1.390|
013:+1.477|+1.477|+0.000|-0.131|+0.758|+0.889|+1.384|
014:+1.471|+1.468|+0.000|-0.119|+0.752|+0.872|+1.374|
015:+1.477|+1.465|+0.000|-0.122|+0.756|+0.878|+1.377|
016:+1.461|+1.465|+0.000|-0.137|+0.746|+0.883|+1.371|
017:+1.466|+1.467|+0.000|-0.135|+0.752|+0.887|+1.380|
018:+1.463|+1.470|+0.000|-0.120|+0.754|+0.874|+1.390|
019:+1.463|+1.467|+0.000|-0.125|+0.752|+0.877|+1.371|
020:+1.474|+1.467|+0.000|-0.123|+0.753|+0.876|+1.377|
021:+1.469|+1.469|+0.000|-0.122|+0.751|+0.873|+1.387|
022:+1.470|+1.472|+0.000|-0.130|+0.755|+0.885|+1.386|
023:+1.459|+1.473|+0.000|-0.123|+0.751|+0.874|+1.388|
024:+1.466|+1.473|+0.000|-0.123|+0.760|+0.882|+1.393|
025:+1.472|+1.471|+0.000|-0.124|+0.755|+0.879|+1.385|
026:+1.472|+1.544|+0.000|-0.115|+0.802|+0.917|+1.538|
027:+1.542|+1.542|+0.000|-0.220|+0.808|+1.028|+1.538|
028:+1.544|+1.543|+0.000|-0.201|+0.808|+1.008|+1.538|
029:+1.547|+1.544|+0.000|-0.203|+0.810|+1.013|+1.541|
030:+1.545|+1.551|+0.000|-0.200|+0.812|+1.012|+1.546|
031:+1.537|+1.545|+0.000|-0.199|+0.809|+1.008|+1.542|
032:+1.539|+1.543|+0.000|-0.197|+0.807|+1.004|+1.540|
033:+1.538|+1.546|+0.000|-0.199|+0.810|+1.009|+1.543|
034:+1.542|+1.541|+0.000|-0.196|+0.816|+1.012|+1.537|
035:+1.538|+1.542|+0.000|-0.200|+0.808|+1.008|+1.539|
036:+1.543|+1.544|+0.000|-0.200|+0.807|+1.007|+1.539|
037:+1.545|+1.544|+0.000|-0.196|+0.812|+1.008|+1.540|
038:+1.535|+1.538|+0.000|-0.210|+0.808|+1.018|+1.533|
039:+1.540|+1.542|+0.000|-0.202|+0.814|+1.016|+1.537|
