MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|+0.000|+0.000|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|+0.000|+0.000|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|
003:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+0.000|+0.000|-0.000|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|
004:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|+0.000|+0.000|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
005:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|+0.000|-0.000|+0.693|+0.000|+0.000|+0.000|+0.000|+0.000|+0.693|
006:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|-0.128|-0.000|+0.000|+0.000|-0.128|+0.693|+0.000|-0.000|+0.000|-0.000|+0.000|+0.693|
007:+0.000|+0.000|+0.693|+0.693|+0.000|-0.000|+0.000|+0.000|+0.135|-0.135|-0.000|+0.000|-0.000|+0.693|+0.000|-0.128|-0.000|+0.000|+0.000|+0.565|
008:+0.000|+0.000|+0.558|+0.558|+0.000|+0.000|-0.137|+0.000|-0.011|+0.142|+0.000|+0.000|-0.007|+0.693|+0.000|+0.007|-0.135|-0.000|+0.000|+0.565|
009:+0.000|+0.000|+0.562|+0.562|+0.000|+0.000|+0.001|+0.000|+0.003|+0.006|-0.000|+0.000|+0.009|+0.556|+0.000|-0.005|+0.006|-0.000|+0.000|+0.558|
010:+0.000|+0.000|+0.569|+0.569|+0.000|+0.000|+0.008|+0.000|+0.005|-0.016|-0.000|+0.000|-0.003|+0.557|+0.000|-0.002|+0.013|-0.000|+0.000|+0.567|
011:+0.000|+0.000|+0.561|+0.561|+0.000|+0.000|+0.003|-0.000|-0.006|-0.000|+0.000|+0.000|-0.003|+0.564|+0.000|+0.003|-0.003|-0.000|+0.000|+0.564|
012:+0.000|+0.000|+0.564|+0.564|+0.000|+0.000|-0.002|+0.000|+0.099|-0.002|-0.000|+0.000|+0.096|+0.568|+0.000|-0.003|-0.003|+0.000|+0.000|+0.562|
013:+0.000|+0.000|+0.561|+0.561|+0.000|+0.000|+0.004|+0.000|-0.096|+0.096|+0.000|+0.000|+0.004|+0.566|+0.000|+0.097|-0.005|-0.000|+0.000|+0.657|
014:+0.000|+0.000|+0.660|+0.661|+0.000|-0.000|+0.092|+0.000|-0.003|-0.090|-0.000|+0.000|-0.001|+0.569|+0.000|+0.001|+0.091|+0.000|+0.000|+0.661|
015:+0.000|+0.000|+0.663|+0.663|+0.000|-0.000|+0.003|+0.000|-0.180|-0.005|-0.000|+0.000|-0.182|+0.661|+0.000|-0.003|+0.001|-0.000|+0.000|+0.660|
016:+0.000|+0.000|+0.662|+0.662|+0.000|+0.000|-0.005|+0.000|+0.180|-0.173|-0.000|+0.000|+0.003|+0.665|+0.000|-0.183|-0.003|-0.000|+0.000|+0.479|
017:+0.000|+0.000|+0.484|+0.484|+0.000|+0.000|-0.182|+0.000|-0.005|+0.192|+0.000|+0.000|+0.005|+0.660|+0.000|-0.003|-0.176|-0.000|+0.000|+0.482|
018:+0.000|+0.000|+0.494|+0.494|+0.000|+0.000|+0.015|-0.000|-0.039|-0.028|-0.000|+0.000|-0.052|+0.478|+0.000|-0.007|+0.016|-0.000|+0.000|+0.486|
019:+0.000|+0.000|+0.481|+0.480|+0.000|-0.000|-0.008|-0.000|+0.046|-0.044|+0.000|+0.000|-0.007|+0.492|+0.000|-0.046|-0.012|-0.000|+0.000|+0.434|
020:+0.000|+0.000|+0.428|+0.428|+0.000|+0.000|-0.052|+0.000|+0.132|+0.056|-0.000|+0.000|+0.136|+0.484|+0.000|-0.001|-0.056|+0.000|+0.000|+0.428|
021:+0.000|+0.000|+0.433|+0.433|+0.000|+0.000|-0.006|+0.000|-0.027|+0.132|-0.000|+0.000|+0.100|+0.432|+0.000|+0.131|+0.001|-0.000|+0.000|+0.564|
022:+0.000|+0.000|+0.559|+0.559|+0.000|+0.000|+0.142|+0.000|-0.106|-0.041|+0.000|+0.000|-0.006|+0.426|+0.000|+0.105|+0.133|-0.000|+0.000|+0.664|
023:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|+0.088|+0.000|+0.005|-0.087|+0.000|+0.000|+0.006|+0.568|+0.000|-0.002|+0.092|-0.000|+0.000|+0.658|
