MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.213|+0.213|+0.000|-0.000|-0.120|-0.001|+0.000|+0.118|-0.000|-0.002|+0.000|+0.693|+0.480|-0.000|-0.134|+0.000|+0.347|+0.693|
002:+0.000|+0.000|+0.213|+0.213|+0.000|+0.000|-0.012|+0.001|+0.000|+0.014|+0.000|+0.003|-0.000|+0.573|+0.480|-0.000|-0.015|+0.000|+0.344|+0.693|
003:+0.000|+0.000|+0.212|+0.212|+0.000|+0.000|+0.001|-0.002|-0.000|+0.002|-0.000|+0.001|-0.000|+0.561|+0.481|+0.000|-0.001|+0.000|+0.348|+0.693|
004:+0.000|+0.000|+0.214|+0.214|+0.000|+0.000|+0.001|-0.004|+0.000|-0.003|+0.000|-0.007|-0.000|+0.562|+0.479|-0.000|+0.000|-0.000|+0.349|+0.693|
005:+0.000|+0.000|+0.219|+0.219|+0.000|+0.000|+0.001|+0.001|-0.000|+0.002|-0.000|+0.004|+0.000|+0.563|+0.474|+0.000|-0.003|+0.000|+0.341|+0.693|
006:+0.000|+0.000|+0.218|+0.218|+0.000|-0.000|+0.000|-0.159|+0.000|+0.099|+0.000|-0.059|-0.000|+0.564|+0.475|-0.000|-0.001|-0.000|+0.346|+0.693|
007:+0.000|+0.000|+0.377|+0.377|+0.000|-0.000|+0.098|-0.002|+0.000|-0.096|-0.000|+0.000|+0.000|+0.565|+0.316|-0.000|+0.098|-0.000|+0.286|+0.693|
008:+0.000|+0.000|+0.378|+0.378|+0.000|-0.000|+0.001|+0.003|-0.128|-0.002|+0.000|+0.002|-0.127|+0.663|+0.314|+0.000|+0.002|-0.000|+0.286|+0.693|
009:+0.000|+0.000|+0.376|+0.376|+0.000|-0.000|-0.001|-0.100|+0.138|-0.186|-0.000|-0.150|+0.001|+0.664|+0.317|-0.127|-0.000|-0.000|+0.288|+0.566|
010:+0.000|+0.000|+0.339|+0.339|+0.000|+0.000|-0.176|-0.003|-0.009|+0.182|+0.000|-0.001|-0.007|+0.662|+0.218|+0.010|-0.186|-0.000|+0.138|+0.567|
