MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.693|+0.000|+0.000|+0.693|+0.000|+0.000|+0.000|-0.133|+0.139|+0.000|+0.006|+0.000|+0.000|+0.693|-0.000|-0.131|-0.000|+0.562|+0.000|
002:+0.000|+0.560|+0.000|+0.000|+0.560|+0.000|+0.000|-0.138|+0.137|-0.000|+0.000|-0.001|+0.000|+0.000|+0.693|-0.133|+0.008|-0.000|+0.568|+0.000|
003:+0.000|+0.559|+0.000|+0.000|+0.559|+0.000|+0.000|+0.003|-0.007|-0.009|-0.000|-0.013|+0.000|+0.000|+0.555|+0.004|+0.007|+0.000|+0.566|+0.000|
004:+0.000|+0.555|+0.000|+0.000|+0.555|+0.000|+0.000|+0.006|+0.001|+0.000|+0.000|+0.007|+0.000|+0.000|+0.558|-0.003|-0.002|-0.000|+0.554|+0.000|
005:+0.000|+0.563|+0.000|+0.000|+0.563|+0.000|+0.000|+0.004|-0.007|+0.004|+0.000|+0.001|+0.000|+0.000|+0.564|-0.001|-0.001|+0.000|+0.561|+0.000|
006:+0.000|+0.560|+0.000|+0.000|+0.560|+0.000|+0.000|-0.010|+0.007|+0.101|-0.000|+0.098|+0.000|+0.000|+0.568|-0.008|+0.003|+0.000|+0.562|+0.000|
007:+0.000|+0.556|+0.000|+0.000|+0.556|+0.000|+0.000|+0.002|+0.105|-0.103|-0.000|+0.004|+0.000|+0.000|+0.557|-0.001|+0.104|+0.000|+0.660|+0.000|
008:+0.000|+0.662|+0.000|+0.000|+0.662|+0.000|+0.000|+0.104|-0.111|+0.004|-0.000|-0.004|+0.000|+0.000|+0.559|+0.103|+0.001|+0.000|+0.664|+0.000|
009:+0.000|+0.655|+0.000|+0.000|+0.655|+0.000|+0.000|-0.002|+0.007|-0.183|+0.000|-0.178|+0.000|+0.000|+0.663|-0.008|+0.005|-0.000|+0.660|+0.000|
010:+0.000|+0.660|+0.000|+0.000|+0.660|+0.000|+0.000|-0.004|-0.179|+0.173|-0.000|-0.011|+0.000|+0.000|+0.661|-0.001|-0.178|+0.000|+0.482|+0.000|
011:+0.000|+0.477|+0.000|+0.000|+0.477|+0.000|+0.000|-0.174|+0.180|+0.014|+0.000|+0.019|+0.000|+0.000|+0.657|-0.180|-0.006|-0.000|+0.471|+0.000|
012:+0.000|+0.482|+0.000|+0.000|+0.483|+0.000|+0.000|-0.002|+0.004|-0.057|+0.000|-0.055|+0.000|+0.000|+0.482|+0.000|+0.008|-0.000|+0.490|+0.000|
013:+0.000|+0.485|+0.000|+0.000|+0.485|+0.000|+0.000|-0.001|-0.050|+0.060|+0.000|+0.008|+0.000|+0.000|+0.480|+0.004|-0.049|-0.000|+0.435|+0.000|
014:+0.000|+0.434|+0.000|+0.000|+0.434|+0.000|+0.000|-0.039|+0.042|+0.118|-0.000|+0.122|+0.000|+0.000|+0.479|-0.046|+0.010|+0.000|+0.444|+0.000|
