MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.001|+0.000|-0.128|-0.000|+0.000|+0.000|-0.128|+0.692|-0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.000|+0.122|-0.125|-0.000|+0.000|-0.003|+0.693|+0.000|-0.128|-0.000|+0.000|+0.000|+0.565|
003:+0.000|+0.000|+0.568|+0.568|+0.000|+0.000|-0.128|+0.000|+0.000|+0.119|+0.000|+0.000|-0.008|+0.693|+0.000|-0.006|-0.125|-0.000|+0.000|+0.562|
004:+0.000|+0.000|+0.559|+0.559|+0.000|+0.000|-0.007|+0.000|+0.007|+0.010|+0.000|+0.000|+0.011|+0.565|+0.000|-0.006|-0.006|-0.000|+0.000|+0.553|
005:+0.000|+0.000|+0.563|+0.563|+0.000|+0.000|+0.007|+0.000|-0.011|-0.000|+0.000|+0.000|-0.004|+0.558|+0.000|+0.002|+0.004|+0.000|+0.000|+0.564|
006:+0.000|+0.000|+0.569|+0.569|+0.000|+0.000|-0.003|+0.000|+0.017|-0.009|+0.000|+0.000|+0.005|+0.566|+0.000|-0.010|+0.004|+0.000|+0.000|+0.560|
007:+0.000|+0.000|+0.557|+0.557|+0.000|+0.000|-0.011|+0.000|+0.082|+0.023|-0.000|+0.000|+0.094|+0.562|+0.000|+0.008|-0.005|+0.000|+0.000|+0.565|
008:+0.000|+0.000|+0.570|+0.570|+0.000|+0.000|+0.008|+0.000|-0.090|+0.083|-0.000|+0.000|+0.001|+0.552|+0.000|+0.089|+0.018|+0.000|+0.000|+0.659|
009:+0.000|+0.000|+0.661|+0.661|+0.000|+0.000|+0.100|+0.000|-0.004|-0.096|+0.000|+0.000|-0.000|+0.559|+0.000|-0.001|+0.101|-0.000|+0.000|+0.660|
010:+0.000|+0.000|+0.665|+0.665|+0.000|+0.000|+0.006|+0.000|-0.164|-0.012|-0.000|+0.000|-0.170|+0.659|+0.000|-0.005|+0.006|+0.000|+0.000|+0.660|
011:+0.000|+0.000|+0.659|+0.659|+0.000|-0.000|-0.008|+0.000|+0.167|-0.167|-0.000|+0.000|-0.008|+0.665|+0.000|-0.169|-0.007|+0.000|+0.000|+0.490|
012:+0.000|+0.000|+0.483|+0.483|+0.000|+0.000|-0.176|-0.000|+0.005|+0.167|+0.000|+0.000|-0.004|+0.657|+0.000|-0.002|-0.174|-0.000|+0.000|+0.481|
013:+0.000|+0.000|+0.474|+0.474|+0.000|+0.000|+0.001|+0.000|-0.046|+0.004|-0.000|+0.000|-0.041|+0.481|-0.000|+0.003|-0.007|-0.000|+0.000|+0.477|
014:+0.000|+0.000|+0.480|+0.480|+0.000|+0.000|+0.009|+0.000|+0.054|-0.059|-0.000|+0.000|+0.004|+0.482|+0.000|-0.044|-0.002|-0.000|+0.000|+0.436|
015:+0.000|+0.000|+0.430|+0.430|+0.000|-0.000|-0.056|+0.000|+0.117|+0.061|+0.000|+0.000|+0.122|+0.492|+0.000|+0.010|-0.061|-0.000|+0.000|+0.440|
016:+0.000|+0.000|+0.435|+0.435|+0.000|-0.000|-0.002|-0.000|-0.024|+0.126|-0.000|+0.000|+0.100|+0.436|+0.000|+0.127|-0.001|+0.000|+0.000|+0.562|
017:+0.000|+0.000|+0.559|+0.559|+0.000|+0.000|+0.127|+0.000|-0.104|-0.027|+0.000|+0.000|-0.004|+0.434|+0.000|+0.103|+0.125|-0.000|+0.000|+0.662|
018:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|+0.101|-0.000|-0.003|-0.098|+0.000|+0.000|+0.000|+0.560|+0.000|-0.000|+0.099|+0.000|+0.000|+0.658|
019:+0.000|+0.000|+0.662|+0.662|+0.000|+0.000|-0.004|+0.000|-0.177|+0.006|-0.000|+0.000|-0.176|+0.661|-0.000|-0.003|+0.001|+0.000|+0.000|+0.659|
020:+0.000|+0.000|+0.664|+0.664|+0.000|+0.000|+0.000|+0.000|+0.190|-0.191|+0.000|+0.000|-0.001|+0.657|-0.000|-0.181|+0.006|-0.000|+0.000|+0.483|
021:+0.000|+0.000|+0.473|+0.473|+0.000|+0.000|-0.176|+0.000|-0.019|+0.190|-0.000|+0.000|-0.005|+0.658|+0.000|+0.010|-0.185|+0.000|+0.000|+0.483|
022:+0.000|+0.000|+0.487|+0.487|+0.000|-0.000|+0.002|+0.000|-0.045|+0.000|+0.000|+0.000|-0.044|+0.482|+0.000|-0.009|+0.005|-0.000|+0.000|+0.478|
023:+0.000|+0.000|+0.488|+0.489|+0.000|-0.000|+0.008|+0.000|+0.053|-0.067|-0.000|+0.000|-0.005|+0.483|+0.000|-0.054|+0.005|+0.000|+0.000|+0.434|
024:+0.000|+0.000|+0.429|+0.429|+0.000|+0.000|-0.077|+0.000|+0.132|+0.080|+0.000|+0.000|+0.136|+0.491|+0.000|-0.000|-0.062|-0.000|+0.000|+0.429|
025:+0.000|+0.000|+0.433|+0.433|+0.000|+0.000|+0.021|+0.000|-0.047|+0.117|+0.000|+0.000|+0.090|+0.414|+0.000|+0.132|+0.019|-0.000|+0.000|+0.565|
026:+0.000|+0.000|+0.571|+0.571|+0.000|+0.000|+0.131|+0.000|-0.085|-0.041|-0.000|+0.000|+0.005|+0.435|+0.000|+0.085|+0.136|+0.000|+0.000|+0.655|
027:+0.000|+0.000|+0.661|+0.661|+0.000|+0.000|+0.094|+0.000|+0.004|-0.095|-0.000|+0.000|+0.003|+0.566|+0.000|-0.000|+0.095|+0.000|+0.000|+0.660|
028:+0.000|+0.000|+0.660|+0.660|+0.000|+0.000|+0.004|-0.000|-0.167|-0.004|-0.000|+0.000|-0.168|+0.660|+0.000|+0.003|+0.000|-0.000|+0.000|+0.664|
029:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|-0.001|+0.000|+0.170|-0.185|+0.000|+0.000|-0.015|+0.663|-0.000|-0.164|-0.004|-0.000|+0.000|+0.496|
030:+0.000|+0.000|+0.474|+0.474|+0.000|+0.000|-0.182|+0.000|-0.018|+0.192|+0.000|+0.000|-0.008|+0.663|+0.000|+0.006|-0.189|+0.000|+0.000|+0.480|
031:+0.000|+0.000|+0.485|+0.485|+0.000|+0.000|+0.001|-0.000|-0.031|-0.001|-0.000|+0.000|-0.031|+0.481|+0.000|-0.012|+0.003|+0.000|+0.000|+0.473|
032:+0.000|+0.000|+0.485|+0.485|+0.000|+0.000|+0.001|+0.000|+0.035|-0.047|-0.000|+0.000|-0.010|+0.482|+0.000|-0.043|+0.003|+0.000|+0.000|+0.442|
033:+0.000|+0.000|+0.439|+0.439|+0.000|+0.000|-0.047|+0.000|+0.130|+0.042|+0.000|+0.000|+0.124|+0.483|+0.000|-0.008|-0.044|-0.000|+0.000|+0.431|
034:+0.000|+0.000|+0.433|+0.433|+0.000|-0.000|+0.002|-0.000|-0.021|+0.129|-0.000|+0.000|+0.109|+0.436|+0.000|+0.122|-0.003|+0.000|+0.000|+0.555|
035:+0.000|+0.000|+0.564|+0.564|+0.000|+0.000|+0.126|+0.000|-0.101|-0.027|-0.000|+0.000|-0.002|+0.438|+0.000|+0.101|+0.126|-0.000|+0.000|+0.665|
036:+0.000|+0.000|+0.663|+0.663|+0.000|+0.000|+0.100|+0.000|-0.008|-0.098|+0.000|+0.000|-0.006|+0.564|+0.000|-0.001|+0.099|-0.000|+0.000|+0.662|
037:+0.000|+0.000|+0.665|+0.665|+0.000|+0.000|-0.004|+0.000|-0.173|+0.000|-0.000|+0.000|-0.177|+0.664|+0.000|-0.009|+0.001|-0.000|+0.000|+0.656|
038:+0.000|+0.000|+0.661|+0.661|+0.000|+0.000|+0.005|+0.000|+0.194|-0.189|+0.000|+0.000|+0.010|+0.660|+0.000|-0.182|+0.001|-0.000|+0.000|+0.479|
039:+0.000|+0.000|+0.477|+0.477|+0.000|-0.000|-0.188|-0.000|-0.029|+0.211|+0.000|+0.000|-0.006|+0.665|+0.000|+0.012|-0.188|+0.000|+0.000|+0.489|
