H0|H0'|1|1_p1|1_p2|partial1|
001:+0.693|+0.565|-0.000|-0.000|+0.000|+0.565|
002:+0.562|+0.554|-0.000|+0.000|+0.000|+0.554|
003:+0.557|+0.557|+0.000|+0.000|-0.000|+0.557|
004:+0.560|+0.570|-0.000|-0.000|+0.000|+0.570|
005:+0.560|+0.558|+0.000|+0.000|+0.000|+0.558|
006:+0.558|+0.560|+0.000|+0.000|+0.000|+0.560|
007:+0.561|+0.662|+0.000|+0.000|+0.000|+0.662|
008:+0.663|+0.665|+0.000|+0.000|+0.000|+0.665|
009:+0.663|+0.659|+0.000|-0.000|-0.000|+0.659|
010:+0.663|+0.484|+0.000|+0.000|+0.000|+0.484|
011:+0.473|+0.489|-0.000|-0.000|+0.000|+0.489|
012:+0.483|+0.494|+0.000|+0.000|-0.000|+0.494|
013:+0.475|+0.425|+0.000|+0.000|+0.000|+0.425|
014:+0.434|+0.427|+0.000|+0.000|+0.000|+0.426|
015:+0.440|+0.558|+0.000|+0.000|-0.000|+0.558|
016:+0.567|+0.663|+0.000|+0.000|-0.000|+0.662|
017:+0.662|+0.663|+0.000|+0.000|+0.000|+0.663|
018:+0.664|+0.663|+0.000|+0.000|+0.000|+0.663|
019:+0.660|+0.486|+0.000|+0.000|+0.000|+0.486|
020:+0.488|+0.495|+0.000|+0.000|+0.000|+0.495|
021:+0.469|+0.474|+0.000|+0.000|+0.000|+0.473|
022:+0.479|+0.437|+0.000|+0.000|+0.000|+0.437|
023:+0.438|+0.437|+0.000|+0.000|+0.000|+0.437|
024:+0.424|+0.556|+0.000|+0.000|+0.000|+0.555|
025:+0.564|+0.661|+0.000|+0.000|+0.000|+0.661|
026:+0.661|+0.662|+0.000|+0.000|+0.000|+0.662|
027:+0.660|+0.661|+0.000|+0.000|+0.000|+0.661|
028:+0.659|+0.475|-0.000|-0.000|+0.000|+0.475|
029:+0.477|+0.486|+0.000|+0.000|+0.000|+0.486|
030:+0.478|+0.477|+0.000|+0.000|+0.000|+0.476|
031:+0.486|+0.442|+0.000|+0.000|+0.000|+0.442|
032:+0.432|+0.431|-0.000|-0.000|+0.000|+0.430|
033:+0.439|+0.565|+0.000|+0.000|-0.000|+0.565|
034:+0.561|+0.661|+0.000|+0.000|+0.000|+0.661|
035:+0.663|+0.663|+0.000|+0.000|+0.000|+0.663|
036:+0.663|+0.661|-0.000|-0.000|+0.000|+0.661|
037:+0.662|+0.465|+0.000|+0.000|+0.000|+0.465|
038:+0.482|+0.491|+0.000|+0.000|+0.000|+0.491|
039:+0.491|+0.491|+0.000|+0.000|+0.000|+0.491|
