H0|H0'|1|1_p1|1_p2|partial1|
001:+0.693|+0.693|-0.480|+0.000|+0.480|+0.693|
002:+0.693|+0.693|-0.474|+0.000|+0.474|+0.693|
003:+0.693|+0.693|-0.485|+0.000|+0.485|+0.693|
004:+0.693|+0.693|-0.474|+0.000|+0.474|+0.693|
005:+0.693|+0.693|-0.475|+0.000|+0.475|+0.693|
006:+0.693|+0.693|-0.480|+0.000|+0.480|+0.693|
007:+0.693|+0.693|-0.305|+0.000|+0.305|+0.693|
008:+0.693|+0.693|-0.316|+0.000|+0.316|+0.693|
009:+0.693|+0.566|-0.328|+0.000|+0.328|+0.566|
010:+0.564|+0.563|-0.221|+0.000|+0.221|+0.563|
011:+0.568|+0.562|-0.229|+0.000|+0.229|+0.562|
012:+0.559|+0.555|-0.219|+0.000|+0.219|+0.555|
013:+0.566|+0.566|-0.299|+0.000|+0.299|+0.566|
014:+0.570|+0.556|-0.310|+0.000|+0.310|+0.556|
015:+0.551|+0.666|+0.000|+0.000|+0.000|+0.666|
016:+0.664|+0.664|+0.000|+0.000|+0.000|+0.663|
017:+0.663|+0.657|+0.000|+0.000|+0.000|+0.657|
018:+0.664|+0.483|-0.000|+0.000|+0.000|+0.483|
019:+0.488|+0.472|+0.000|+0.000|-0.000|+0.472|
020:+0.482|+0.481|+0.000|+0.000|-0.000|+0.481|
021:+0.485|+0.440|+0.000|+0.000|+0.000|+0.440|
022:+0.439|+0.429|-0.000|+0.000|+0.000|+0.429|
023:+0.433|+0.558|+0.000|+0.000|+0.000|+0.558|
024:+0.560|+0.661|+0.000|+0.000|-0.000|+0.661|
025:+0.661|+0.662|-0.000|+0.000|+0.000|+0.662|
026:+0.659|+0.665|-0.000|+0.000|+0.000|+0.665|
027:+0.661|+0.485|+0.000|+0.000|-0.000|+0.485|
028:+0.488|+0.487|+0.000|+0.000|+0.000|+0.487|
029:+0.482|+0.482|+0.000|+0.000|-0.000|+0.482|
030:+0.477|+0.442|+0.000|+0.000|+0.000|+0.442|
031:+0.438|+0.432|+0.000|+0.000|+0.000|+0.432|
032:+0.442|+0.569|+0.000|+0.000|+0.000|+0.569|
033:+0.564|+0.663|+0.000|+0.000|+0.000|+0.663|
034:+0.665|+0.663|+0.000|+0.000|+0.000|+0.663|
035:+0.659|+0.660|+0.000|+0.000|+0.000|+0.660|
036:+0.665|+0.483|-0.000|+0.000|+0.000|+0.483|
037:+0.485|+0.481|+0.000|+0.000|+0.000|+0.481|
038:+0.488|+0.478|+0.000|+0.000|-0.000|+0.478|
039:+0.479|+0.425|+0.000|+0.000|+0.000|+0.425|
