H0|H0'|1|1_p1|1_p2|partial1|
001:+0.693|+0.693|-0.474|+0.000|+0.474|+0.693|
002:+0.693|+0.693|-0.472|+0.000|+0.472|+0.693|
003:+0.693|+0.693|-0.477|+0.000|+0.477|+0.693|
004:+0.693|+0.693|-0.479|+0.000|+0.479|+0.693|
005:+0.693|+0.693|-0.477|+0.000|+0.477|+0.693|
006:+0.693|+0.564|-0.477|+0.000|+0.477|+0.564|
007:+0.555|+0.570|-0.415|+0.000|+0.415|+0.569|
008:+0.562|+0.565|-0.421|+0.000|+0.421|+0.564|
009:+0.559|+0.571|-0.424|+0.000|+0.424|+0.571|
010:+0.564|+0.567|-0.504|+0.000|+0.504|+0.567|
011:+0.565|+0.563|-0.505|+0.000|+0.505|+0.563|
012:+0.556|+0.657|-0.495|+0.000|+0.495|+0.657|
013:+0.663|+0.664|-0.577|+0.000|+0.577|+0.664|
014:+0.665|+0.666|-0.582|+0.000|+0.582|+0.666|
015:+0.661|+0.492|-0.525|+0.000|+0.525|+0.492|
016:+0.486|+0.479|-0.383|+0.000|+0.383|+0.479|
017:+0.487|+0.477|-0.385|+0.000|+0.385|+0.477|
018:+0.489|+0.432|-0.387|+0.000|+0.387|+0.432|
019:+0.424|+0.428|-0.389|+0.000|+0.389|+0.427|
020:+0.425|+0.570|-0.390|+0.000|+0.390|+0.570|
021:+0.562|+0.661|-0.503|+0.000|+0.503|+0.661|
022:+0.663|+0.659|-0.584|+0.000|+0.584|+0.659|
023:+0.655|+0.658|-0.574|+0.000|+0.574|+0.658|
024:+0.664|+0.475|-0.524|+0.000|+0.524|+0.475|
025:+0.478|+0.476|-0.377|+0.000|+0.377|+0.476|
026:+0.478|+0.484|-0.381|+0.000|+0.381|+0.484|
027:+0.476|+0.433|-0.377|+0.000|+0.377|+0.433|
028:+0.429|+0.440|-0.392|+0.000|+0.392|+0.440|
029:+0.437|+0.568|-0.402|+0.000|+0.402|+0.568|
030:+0.566|+0.662|-0.505|+0.000|+0.505|+0.662|
031:+0.659|+0.666|-0.579|+0.000|+0.579|+0.666|
032:+0.663|+0.665|-0.581|+0.000|+0.581|+0.665|
033:+0.655|+0.476|-0.514|+0.000|+0.514|+0.476|
034:+0.483|+0.468|-0.379|+0.000|+0.379|+0.468|
035:+0.488|+0.480|-0.387|+0.000|+0.387|+0.480|
036:+0.493|+0.427|-0.391|+0.000|+0.391|+0.427|
037:+0.425|+0.434|-0.391|+0.000|+0.391|+0.434|
038:+0.432|+0.569|-0.395|+0.000|+0.395|+0.569|
039:+0.560|+0.662|-0.499|+0.000|+0.499|+0.662|
