MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|+0.003|-0.005|+0.000|+0.000|-0.002|+0.693|+0.000|-0.003|+0.000|-0.000|+0.000|+0.690|
002:+0.000|+0.000|+0.689|+0.689|+0.000|+0.000|-0.003|-0.000|+0.000|+0.004|+0.000|+0.000|+0.001|+0.693|+0.000|-0.000|-0.004|+0.000|+0.000|+0.688|
003:+0.000|+0.000|+0.689|+0.689|+0.000|+0.000|+0.000|+0.000|+0.001|+0.000|+0.000|+0.000|+0.001|+0.690|+0.000|-0.000|-0.001|+0.000|+0.000|+0.689|
004:+0.000|+0.000|+0.690|+0.690|+0.000|+0.000|-0.002|+0.000|+0.000|+0.001|-0.000|+0.000|-0.000|+0.690|+0.000|+0.001|-0.001|+0.000|+0.000|+0.690|
005:+0.000|+0.000|+0.689|+0.690|+0.000|+0.000|+0.000|-0.000|-0.005|+0.000|-0.000|+0.000|-0.005|+0.688|+0.000|+0.001|+0.001|+0.000|+0.000|+0.690|
006:+0.000|+0.000|+0.690|+0.690|+0.000|-0.000|+0.001|+0.000|+0.004|-0.007|-0.000|+0.000|-0.001|+0.689|-0.000|-0.004|+0.001|-0.000|+0.000|+0.685|
007:+0.000|+0.000|+0.685|+0.685|+0.000|+0.000|-0.005|+0.000|+0.000|+0.004|-0.000|+0.000|-0.000|+0.690|+0.000|-0.001|-0.005|-0.000|+0.000|+0.684|
008:+0.000|+0.000|+0.684|+0.684|+0.000|+0.000|-0.001|+0.000|+0.002|+0.001|+0.000|+0.000|+0.003|+0.685|+0.000|-0.000|-0.001|-0.000|+0.000|+0.683|
009:+0.000|+0.000|+0.684|+0.685|+0.000|+0.000|+0.000|+0.000|-0.003|-0.001|-0.000|+0.000|-0.003|+0.684|+0.000|+0.002|+0.001|+0.000|+0.000|+0.686|
010:+0.000|+0.000|+0.684|+0.684|+0.000|+0.000|+0.002|+0.000|-0.001|-0.003|-0.000|+0.000|-0.002|+0.684|+0.000|-0.001|-0.000|+0.000|+0.000|+0.683|
011:+0.000|+0.000|+0.684|+0.684|+0.000|+0.000|-0.005|-0.000|+0.002|+0.001|-0.000|+0.000|-0.001|+0.687|+0.000|-0.002|-0.003|+0.000|+0.000|+0.682|
012:+0.000|+0.000|+0.681|+0.680|+0.000|+0.000|-0.002|+0.000|+0.003|+0.001|+0.000|+0.000|+0.002|+0.682|-0.000|-0.000|-0.002|-0.000|+0.000|+0.680|
013:+0.000|+0.000|+0.680|+0.680|+0.000|+0.000|+0.001|+0.000|-0.003|-0.002|+0.000|+0.000|-0.003|+0.680|+0.000|+0.003|-0.001|-0.000|+0.000|+0.682|
014:+0.000|+0.000|+0.679|+0.679|+0.000|-0.000|-0.001|+0.000|+0.001|+0.001|+0.000|+0.000|+0.002|+0.681|+0.000|+0.000|-0.002|+0.000|+0.000|+0.679|
015:+0.000|+0.000|+0.680|+0.680|+0.000|+0.000|-0.002|-0.000|-0.003|+0.003|-0.000|+0.000|-0.002|+0.681|+0.000|+0.001|-0.001|+0.000|+0.000|+0.681|
016:+0.000|+0.000|+0.681|+0.681|+0.000|-0.000|+0.003|+0.000|-0.002|-0.003|-0.000|+0.000|-0.001|+0.678|-0.000|-0.001|+0.002|+0.000|+0.000|+0.679|
017:+0.000|+0.000|+0.681|+0.681|+0.000|+0.000|-0.002|+0.000|+0.003|-0.002|+0.000|+0.000|-0.001|+0.681|+0.000|-0.003|-0.001|-0.000|+0.000|+0.678|
018:+0.000|+0.000|+0.677|+0.677|+0.000|+0.000|+0.001|+0.000|+0.000|+0.001|+0.000|+0.000|+0.002|+0.679|+0.000|-0.000|-0.002|-0.000|+0.000|+0.677|
019:+0.000|+0.000|+0.679|+0.679|+0.000|+0.000|+0.000|+0.000|-0.003|+0.000|+0.000|+0.000|-0.002|+0.680|+0.000|+0.000|-0.001|+0.000|+0.000|+0.679|
020:+0.000|+0.000|+0.679|+0.680|+0.000|+0.000|-0.005|+0.000|-0.000|+0.006|-0.000|+0.000|+0.001|+0.680|+0.000|-0.002|-0.001|+0.000|+0.000|+0.677|
021:+0.000|+0.000|+0.680|+0.680|+0.000|+0.000|+0.003|+0.000|+0.001|-0.006|-0.000|+0.000|-0.003|+0.675|+0.000|-0.002|+0.005|-0.000|+0.000|+0.678|
022:+0.000|+0.000|+0.677|+0.677|+0.000|+0.000|-0.005|+0.000|+0.002|+0.005|+0.000|+0.000|+0.001|+0.678|+0.000|-0.001|-0.001|-0.000|+0.000|+0.676|
023:+0.000|+0.000|+0.677|+0.677|+0.000|+0.000|+0.004|+0.000|+0.006|-0.009|-0.000|+0.000|+0.001|+0.673|+0.000|+0.000|+0.004|+0.000|+0.000|+0.677|
024:+0.000|+0.000|+0.672|+0.672|+0.000|-0.000|+0.000|+0.000|-0.008|+0.006|-0.000|+0.000|-0.001|+0.677|+0.000|+0.006|-0.005|-0.000|+0.000|+0.678|
025:+0.000|+0.000|+0.679|+0.678|+0.000|-0.000|-0.006|-0.000|-0.182|+0.005|-0.000|+0.000|-0.184|+0.677|+0.000|-0.002|+0.001|-0.000|+0.000|+0.677|
026:+0.000|+0.000|+0.677|+0.677|+0.000|+0.000|+0.003|+0.000|+0.208|-0.185|-0.000|+0.000|+0.026|+0.671|-0.000|-0.184|+0.006|-0.000|+0.000|+0.493|
027:+0.000|+0.000|+0.495|+0.495|+0.000|+0.000|-0.160|+0.000|-0.028|+0.173|+0.000|+0.000|-0.015|+0.674|+0.000|+0.024|-0.180|-0.000|+0.000|+0.519|
028:+0.000|+0.000|+0.509|+0.508|+0.000|-0.000|-0.011|+0.000|+0.004|+0.002|+0.000|+0.000|-0.004|+0.515|+0.000|-0.004|-0.006|-0.000|+0.000|+0.504|
029:+0.000|+0.000|+0.500|+0.500|+0.000|+0.000|-0.009|+0.000|-0.008|+0.024|+0.000|+0.000|+0.007|+0.504|+0.000|+0.000|-0.004|-0.000|+0.000|+0.500|
030:+0.000|+0.000|+0.514|+0.514|+0.000|+0.000|+0.013|+0.000|-0.091|-0.021|+0.000|+0.000|-0.099|+0.494|+0.000|-0.008|+0.020|-0.000|+0.000|+0.506|
031:+0.000|+0.000|+0.506|+0.506|+0.000|+0.000|-0.010|-0.000|+0.084|-0.075|-0.000|+0.000|-0.001|+0.507|+0.000|-0.099|-0.001|+0.000|+0.000|+0.407|
032:+0.000|+0.000|+0.421|+0.421|+0.000|+0.000|-0.070|+0.000|+0.025|+0.056|+0.000|+0.000|+0.010|+0.497|-0.000|-0.015|-0.076|-0.000|+0.000|+0.406|
033:+0.000|+0.000|+0.407|+0.407|+0.000|+0.000|-0.014|+0.000|-0.005|+0.019|+0.000|+0.000|+0.000|+0.427|+0.000|+0.010|-0.020|+0.000|+0.000|+0.417|
034:+0.000|+0.000|+0.412|+0.413|+0.000|+0.000|-0.005|+0.000|-0.009|+0.009|-0.000|+0.000|-0.006|+0.413|+0.000|+0.005|-0.001|+0.000|+0.000|+0.417|
