MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.015|-0.000|+0.000|+0.018|-0.000|+0.003|+0.000|+0.693|+0.693|-0.000|-0.014|+0.000|+0.679|+0.693|
002:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|-0.001|+0.000|-0.001|+0.000|-0.003|+0.000|+0.678|+0.693|-0.000|+0.004|-0.000|+0.682|+0.693|
003:+0.000|+0.000|+0.001|+0.001|+0.000|-0.000|+0.004|+0.000|-0.000|-0.002|-0.000|+0.002|-0.000|+0.677|+0.693|+0.000|+0.003|+0.000|+0.679|+0.693|
004:+0.000|+0.001|+0.000|+0.000|+0.000|-0.001|+0.001|+0.000|+0.000|-0.003|+0.000|-0.003|+0.000|+0.680|+0.693|-0.000|+0.000|-0.000|+0.681|+0.693|
005:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|-0.016|-0.000|-0.016|+0.000|+0.681|+0.693|+0.000|-0.003|+0.000|+0.678|+0.693|
006:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.021|-0.000|-0.000|+0.016|-0.000|-0.005|-0.000|+0.681|+0.693|-0.000|-0.019|+0.000|+0.662|+0.693|
007:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.002|+0.000|+0.000|-0.002|+0.000|+0.001|-0.000|+0.660|+0.693|-0.000|-0.003|-0.000|+0.657|+0.693|
008:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.002|-0.000|+0.002|-0.000|+0.663|+0.693|+0.000|-0.005|+0.000|+0.658|+0.693|
009:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.003|+0.000|+0.000|+0.005|-0.000|+0.002|+0.000|+0.662|+0.693|-0.000|-0.002|-0.000|+0.660|+0.693|
010:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|-0.000|+0.000|-0.021|+0.000|-0.020|-0.001|+0.659|+0.693|+0.000|+0.003|-0.000|+0.662|+0.693|
011:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.020|+0.000|-0.000|+0.016|-0.000|-0.003|+0.001|+0.661|+0.693|+0.000|-0.018|+0.000|+0.642|+0.692|
012:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.002|-0.000|-0.000|-0.004|-0.000|-0.003|+0.000|+0.641|+0.693|+0.000|-0.003|-0.000|+0.638|+0.693|
013:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.006|+0.000|-0.000|+0.010|-0.000|+0.005|+0.000|+0.643|+0.693|+0.000|-0.007|-0.000|+0.636|+0.693|
014:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.008|-0.000|+0.000|-0.003|+0.000|+0.004|-0.000|+0.637|+0.693|+0.000|+0.003|-0.000|+0.641|+0.693|
015:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.006|+0.000|-0.000|-0.006|+0.000|-0.012|+0.000|+0.645|+0.693|+0.000|-0.000|+0.000|+0.644|+0.693|
016:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.013|-0.000|-0.000|+0.012|-0.000|-0.001|-0.000|+0.638|+0.693|+0.000|-0.006|+0.000|+0.633|+0.693|
017:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.006|-0.000|-0.000|-0.012|+0.000|-0.007|-0.000|+0.625|+0.693|-0.000|+0.006|-0.000|+0.632|+0.693|
018:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.001|+0.000|+0.000|+0.009|-0.000|+0.008|+0.000|+0.631|+0.693|-0.000|-0.006|+0.000|+0.625|+0.693|
019:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|+0.000|+0.000|-0.006|+0.000|-0.006|+0.000|+0.630|+0.693|-0.000|+0.003|-0.000|+0.633|+0.693|
020:+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|-0.008|+0.000|-0.000|-0.003|-0.000|-0.011|+0.000|+0.631|+0.693|+0.000|-0.003|+0.000|+0.627|+0.693|
021:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|-0.000|+0.000|+0.000|-0.000|-0.001|+0.000|+0.623|+0.693|-0.000|-0.006|+0.000|+0.616|+0.693|
022:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|+0.000|+0.000|+0.006|+0.000|+0.005|-0.000|+0.622|+0.693|+0.000|-0.006|-0.000|+0.616|+0.693|
023:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.003|-0.000|-0.000|-0.006|+0.000|-0.003|-0.000|+0.621|+0.693|+0.000|-0.000|+0.000|+0.620|+0.693|
024:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.008|+0.000|+0.000|+0.009|-0.000|+0.002|+0.000|+0.623|+0.693|-0.000|-0.006|+0.000|+0.618|+0.693|
025:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.003|-0.117|-0.000|-0.195|+0.000|-0.309|+0.000|+0.616|+0.693|+0.000|+0.003|-0.000|+0.619|+0.693|
026:+0.000|+0.000|+0.117|+0.117|+0.000|+0.000|-0.184|+0.005|-0.000|+0.166|+0.000|-0.013|-0.000|+0.619|+0.576|+0.000|-0.192|-0.000|+0.310|+0.693|
027:+0.000|+0.000|+0.111|+0.111|+0.000|-0.000|-0.015|-0.002|+0.000|+0.024|+0.000|+0.007|-0.000|+0.435|+0.582|-0.000|-0.026|+0.000|+0.297|+0.693|
028:+0.000|+0.000|+0.113|+0.114|+0.000|+0.000|+0.016|-0.006|-0.000|-0.004|-0.000|+0.006|+0.000|+0.420|+0.580|+0.000|-0.002|+0.000|+0.304|+0.693|
029:+0.000|+0.000|+0.120|+0.119|+0.000|+0.000|-0.006|+0.006|+0.000|-0.003|+0.000|-0.003|-0.000|+0.435|+0.574|-0.000|-0.006|+0.000|+0.310|+0.693|
030:+0.000|+0.000|+0.113|+0.113|+0.000|+0.000|-0.007|+0.040|-0.000|-0.094|-0.000|-0.061|+0.000|+0.430|+0.580|+0.000|-0.009|+0.000|+0.307|+0.693|
031:+0.000|+0.000|+0.074|+0.074|+0.000|-0.000|-0.094|-0.003|-0.000|+0.108|-0.000|+0.011|-0.000|+0.422|+0.619|+0.000|-0.103|+0.000|+0.246|+0.693|
032:+0.000|+0.000|+0.077|+0.077|+0.000|+0.000|-0.001|+0.004|+0.000|-0.016|+0.000|-0.012|+0.001|+0.328|+0.616|-0.000|+0.005|-0.000|+0.256|+0.693|
033:+0.000|+0.000|+0.073|+0.073|+0.000|-0.000|+0.014|-0.002|-0.000|-0.009|-0.000|+0.004|-0.000|+0.327|+0.620|+0.000|-0.010|-0.000|+0.244|+0.693|
034:+0.000|+0.000|+0.074|+0.074|+0.000|-0.000|-0.002|-0.000|+0.000|+0.006|+0.000|+0.004|+0.000|+0.341|+0.619|-0.000|-0.019|-0.000|+0.248|+0.693|
035:+0.000|+0.000|+0.074|+0.074|+0.000|-0.000|-0.009|+0.011|-0.000|-0.021|-0.000|-0.019|-0.000|+0.340|+0.619|+0.000|-0.014|+0.000|+0.252|+0.693|
036:+0.000|+0.000|+0.063|+0.063|+0.000|-0.000|-0.042|-0.002|+0.000|+0.045|+0.000|+0.001|+0.000|+0.331|+0.630|-0.000|-0.035|-0.000|+0.233|+0.693|
037:+0.000|+0.000|+0.065|+0.065|+0.000|-0.000|+0.002|+0.003|+0.000|-0.014|-0.000|-0.009|-0.000|+0.289|+0.628|-0.000|+0.010|-0.000|+0.234|+0.693|
038:+0.000|+0.000|+0.062|+0.062|+0.000|-0.000|+0.011|+0.000|+0.000|-0.015|-0.000|-0.003|+0.000|+0.291|+0.631|+0.000|-0.004|-0.000|+0.225|+0.693|
039:+0.000|+0.000|+0.062|+0.062|+0.000|-0.000|+0.012|-0.002|-0.000|-0.003|+0.000|+0.007|-0.000|+0.302|+0.631|+0.000|-0.019|-0.000|+0.222|+0.693|
