MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.001|+1.208|+1.208|+0.001|+0.000|+0.002|+0.000|+0.005|-0.000|-0.000|+0.000|+0.007|+1.197|+0.000|-0.013|+0.010|-0.000|+0.000|+1.194|
002:+0.001|+0.002|+1.211|+1.211|+0.002|-0.000|-0.006|-0.000|+0.009|-0.008|+0.000|+0.000|-0.004|+1.199|+0.000|-0.008|+0.010|-0.000|+0.000|+1.200|
003:+0.001|+0.002|+1.198|+1.198|+0.002|+0.000|+0.007|-0.000|+0.005|-0.001|-0.000|+0.000|+0.011|+1.193|+0.000|+0.001|+0.002|+0.000|+0.000|+1.196|
004:+0.001|+0.001|+1.203|+1.203|+0.001|+0.000|-0.010|+0.000|-0.014|+0.007|+0.000|+0.000|-0.017|+1.200|-0.000|+0.005|+0.002|-0.000|+0.000|+1.207|
005:+0.000|+0.001|+1.200|+1.200|+0.001|+0.000|+0.006|+0.000|+0.009|-0.003|-0.000|+0.000|+0.013|+1.190|+0.000|-0.009|+0.009|+0.000|+0.000|+1.190|
006:+0.000|+0.001|+1.203|+1.203|+0.001|-0.000|+0.013|-0.000|+0.003|-0.022|-0.000|+0.000|-0.006|+1.197|+0.000|+0.001|+0.005|-0.000|+0.000|+1.203|
007:+0.001|+0.002|+1.195|+1.195|+0.002|-0.000|-0.011|+0.000|-0.004|+0.025|+0.000|+0.000|+0.010|+1.210|-0.000|+0.003|-0.017|-0.000|+0.000|+1.196|
008:+0.000|+0.002|+1.209|+1.209|+0.002|-0.000|+0.003|+0.000|+0.006|-0.016|-0.000|+0.000|-0.006|+1.199|+0.000|-0.001|+0.008|+0.000|+0.000|+1.206|
009:+0.001|+0.002|+1.196|+1.196|+0.002|-0.000|-0.012|-0.000|-0.012|+0.024|-0.000|+0.000|+0.000|+1.202|+0.000|+0.005|-0.008|-0.000|+0.000|+1.200|
010:+0.001|+0.002|+1.209|+1.208|+0.002|+0.000|+0.008|+0.000|+0.013|-0.018|+0.000|+0.000|+0.003|+1.190|+0.000|-0.007|+0.016|-0.000|+0.000|+1.200|
011:+0.000|+0.002|+1.199|+1.199|+0.002|+0.000|+0.007|-0.000|+0.009|-0.009|+0.000|+0.000|+0.008|+1.198|+0.000|+0.007|-0.001|-0.000|+0.000|+1.203|
012:+0.000|+0.001|+1.197|+1.197|+0.001|+0.000|+0.000|+0.000|-0.016|+0.000|-0.000|+0.000|-0.016|+1.205|+0.000|+0.016|-0.010|-0.000|+0.000|+1.211|
013:+0.001|+0.002|+1.198|+1.197|+0.002|+0.000|-0.010|+0.000|+0.011|+0.006|+0.001|+0.000|+0.007|+1.205|+0.000|-0.000|-0.010|-0.000|+0.000|+1.195|
014:+0.000|+0.001|+1.193|+1.193|+0.001|+0.000|-0.006|-0.000|-0.010|+0.016|-0.000|+0.000|+0.001|+1.196|+0.000|+0.011|-0.004|+0.000|+0.000|+1.202|
015:+0.000|+0.002|+1.204|+1.204|+0.002|-0.000|+0.012|+0.000|-0.006|-0.012|+0.001|+0.000|-0.008|+1.190|-0.000|+0.001|+0.012|-0.000|+0.000|+1.203|
016:+0.000|+0.002|+1.203|+1.203|+0.002|-0.000|-0.007|-0.000|+0.001|+0.003|-0.001|+0.000|-0.001|+1.202|+0.000|-0.005|-0.000|+0.001|+0.000|+1.195|
017:+0.001|+0.001|+1.200|+1.199|+0.001|+0.000|+0.003|-0.000|-0.004|+0.001|+0.001|+0.000|+0.000|+1.195|+0.000|-0.004|+0.003|-0.001|+0.000|+1.194|
018:+0.001|+0.002|+1.205|+1.204|+0.002|+0.000|+0.008|+0.000|+0.013|-0.016|+0.001|+0.000|+0.006|+1.198|+0.000|-0.008|+0.004|-0.000|+0.000|+1.195|
019:+0.000|+0.001|+1.196|+1.196|+0.001|+0.000|-0.006|+0.000|-0.001|+0.006|-0.001|+0.000|-0.001|+1.207|+0.000|+0.006|-0.011|+0.000|+0.000|+1.201|
020:+0.000|+0.002|+1.197|+1.197|+0.002|-0.000|-0.003|-0.000|-0.006|+0.009|+0.000|+0.000|+0.000|+1.200|+0.000|+0.005|-0.005|-0.000|+0.000|+1.200|
021:+0.000|+0.002|+1.203|+1.203|+0.002|+0.000|+0.002|-0.000|+0.003|-0.005|-0.000|+0.000|-0.000|+1.197|+0.000|-0.001|+0.004|-0.000|+0.000|+1.200|
022:+0.001|+0.002|+1.200|+1.200|+0.002|+0.000|+0.005|-0.000|-0.006|-0.001|-0.000|+0.000|-0.002|+1.199|+0.000|+0.002|-0.001|-0.000|+0.000|+1.200|
023:+0.001|+0.002|+1.205|+1.204|+0.002|-0.000|-0.000|+0.000|-0.000|-0.005|-0.000|+0.000|-0.004|+1.204|-0.000|-0.004|-0.002|-0.000|+0.000|+1.198|
024:+0.001|+0.001|+1.199|+1.199|+0.001|+0.000|-0.008|+0.000|+0.007|+0.012|+0.000|+0.000|+0.011|+1.204|+0.000|-0.004|-0.006|-0.001|+0.000|+1.194|
025:+0.000|+0.002|+1.204|+1.203|+0.002|+0.000|+0.004|+0.157|+0.004|+0.179|-0.000|+0.348|-0.004|+1.196|+0.000|+0.003|+0.006|-0.000|+0.000|+1.204|
026:+0.001|+0.002|+1.038|+1.038|+0.001|-0.001|+0.184|-0.032|-0.010|-0.185|+0.000|-0.011|+0.002|+1.200|+0.157|+0.007|+0.184|-0.000|+0.348|+1.201|
027:+0.000|+0.002|+1.049|+1.083|+0.002|-0.034|+0.000|+0.002|-0.002|+0.000|-0.000|+0.008|-0.003|+1.384|+0.125|-0.003|-0.000|-0.000|+0.337|+1.203|
028:+0.001|+0.001|+1.041|+1.078|+0.001|-0.037|-0.062|-0.003|+0.191|+0.000|+0.061|-0.098|+0.086|+1.384|+0.127|-0.004|+0.000|-0.000|+0.345|+1.200|
029:+0.001|+0.063|+1.078|+1.075|+0.039|+0.040|-0.025|+0.128|-0.187|-0.176|-0.115|-0.119|+0.047|+1.323|+0.124|+0.187|+0.000|+0.061|+0.247|+1.286|
030:+0.055|+0.034|+1.082|+1.080|+0.053|-0.033|-0.101|+0.093|+0.001|+0.187|+0.054|+0.004|+0.051|+1.297|+0.252|-0.000|-0.176|-0.054|+0.128|+1.333|
