H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.300|+1.302|+0.000|-0.000|+0.000|+0.000|+1.302|
002:+1.305|+1.308|+0.000|-0.000|+0.000|+0.000|+1.308|
003:+1.306|+1.301|+0.000|-0.000|+0.000|+0.000|+1.301|
004:+1.305|+1.293|+0.000|+0.000|+0.000|+0.000|+1.293|
005:+1.299|+1.305|+0.000|-0.000|+0.000|+0.000|+1.304|
006:+1.298|+1.306|+0.000|-0.000|+0.000|+0.000|+1.306|
007:+1.299|+1.304|+0.000|+0.000|+0.000|-0.000|+1.303|
008:+1.302|+1.302|+0.000|+0.000|+0.000|-0.000|+1.301|
009:+1.311|+1.299|+0.000|-0.000|+0.000|+0.000|+1.298|
010:+1.305|+1.299|+0.000|+0.000|+0.000|+0.000|+1.299|
011:+1.296|+1.299|+0.000|-0.000|+0.000|+0.000|+1.299|
012:+1.296|+1.301|+0.000|+0.000|+0.000|-0.000|+1.301|
013:+1.310|+1.302|+0.000|-0.000|+0.000|+0.000|+1.301|
014:+1.306|+1.296|+0.000|+0.000|+0.000|-0.000|+1.295|
015:+1.306|+1.302|+0.000|-0.000|+0.000|+0.000|+1.302|
016:+1.304|+1.306|+0.000|+0.000|+0.000|-0.000|+1.306|
017:+1.302|+1.302|+0.000|+0.000|+0.000|-0.000|+1.302|
018:+1.296|+1.302|+0.000|+0.000|+0.000|-0.000|+1.301|
019:+1.301|+1.301|+0.000|-0.000|+0.000|+0.000|+1.300|
020:+1.301|+1.305|+0.000|-0.000|+0.000|+0.000|+1.305|
021:+1.308|+1.304|+0.000|+0.000|+0.000|-0.000|+1.304|
022:+1.300|+1.307|+0.000|+0.000|+0.000|-0.000|+1.307|
023:+1.302|+1.300|+0.000|-0.000|+0.000|+0.000|+1.300|
024:+1.298|+1.303|+0.000|-0.000|+0.000|+0.000|+1.303|
025:+1.307|+1.298|+0.000|-0.000|+0.000|+0.000|+1.298|
026:+1.303|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
028:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
030:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
031:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
032:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
033:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
034:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.385|
036:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
037:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
038:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
039:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
