MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.693|+0.000|+0.000|-0.000|-0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|+0.000|-0.000|+0.000|-0.000|+0.000|+0.693|
003:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+0.000|+0.000|-0.000|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|
004:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|-0.131|-0.000|-0.000|+0.000|-0.131|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|
005:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.129|-0.137|+0.000|+0.000|-0.007|+0.693|+0.000|-0.131|-0.000|+0.000|+0.000|+0.562|
006:+0.000|+0.000|+0.556|+0.556|+0.000|-0.000|-0.133|+0.000|+0.004|+0.130|-0.000|+0.000|+0.001|+0.693|+0.000|-0.002|-0.137|+0.000|+0.000|+0.555|
007:+0.000|+0.000|+0.553|+0.553|+0.000|+0.000|+0.003|+0.000|-0.000|+0.003|-0.000|+0.000|+0.006|+0.560|+0.000|+0.002|-0.007|+0.000|+0.000|+0.555|
008:+0.000|+0.000|+0.560|+0.560|+0.000|+0.000|+0.001|+0.000|-0.017|+0.014|-0.000|+0.000|-0.002|+0.563|+0.000|+0.002|-0.003|+0.000|+0.000|+0.561|
009:+0.000|+0.000|+0.575|+0.575|+0.000|-0.000|-0.004|+0.000|+0.011|-0.009|-0.000|+0.000|-0.002|+0.564|+0.000|-0.015|+0.010|-0.000|+0.000|+0.560|
010:+0.000|+0.000|+0.562|+0.561|+0.000|+0.000|+0.002|+0.000|+0.094|+0.010|+0.000|+0.000|+0.105|+0.560|+0.000|-0.004|+0.001|-0.000|+0.000|+0.558|
011:+0.000|+0.000|+0.573|+0.573|+0.000|+0.000|-0.000|+0.000|-0.091|+0.089|-0.000|+0.000|-0.002|+0.562|+0.000|+0.090|+0.011|+0.000|+0.000|+0.663|
012:+0.000|+0.000|+0.662|+0.662|+0.000|-0.000|+0.103|+0.000|+0.001|-0.102|-0.000|+0.000|+0.001|+0.561|+0.000|-0.001|+0.100|-0.000|+0.000|+0.661|
013:+0.000|+0.000|+0.662|+0.662|+0.000|-0.000|+0.001|+0.000|-0.184|-0.002|+0.000|+0.000|-0.185|+0.664|+0.000|+0.000|-0.002|-0.000|+0.000|+0.663|
014:+0.000|+0.000|+0.661|+0.661|+0.000|+0.000|+0.001|+0.000|+0.181|-0.178|+0.000|+0.000|+0.004|+0.665|+0.000|-0.183|-0.004|+0.000|+0.000|+0.478|
015:+0.000|+0.000|+0.484|+0.484|+0.000|+0.000|-0.182|+0.000|+0.013|+0.168|-0.000|+0.000|-0.000|+0.666|+0.000|-0.002|-0.182|+0.000|+0.000|+0.482|
016:+0.000|+0.000|+0.470|+0.470|+0.000|-0.000|-0.008|+0.000|-0.065|+0.019|+0.000|+0.000|-0.054|+0.484|+0.000|+0.012|-0.013|+0.000|+0.000|+0.482|
017:+0.000|+0.000|+0.481|+0.482|+0.000|+0.000|+0.001|+0.000|+0.061|-0.052|-0.000|+0.000|+0.011|+0.476|+0.000|-0.054|+0.006|+0.000|+0.000|+0.428|
018:+0.000|+0.000|+0.431|+0.431|+0.000|+0.000|-0.047|-0.000|+0.127|+0.044|+0.000|+0.000|+0.123|+0.477|+0.000|+0.007|-0.046|+0.000|+0.000|+0.439|
019:+0.000|+0.000|+0.428|+0.428|+0.000|+0.000|+0.006|+0.000|-0.028|+0.122|-0.000|+0.000|+0.100|+0.430|+0.000|+0.134|-0.002|+0.000|+0.000|+0.562|
020:+0.000|+0.000|+0.556|+0.556|+0.000|-0.000|+0.127|-0.000|-0.097|-0.026|+0.000|+0.000|+0.004|+0.436|+0.000|+0.106|+0.120|-0.000|+0.000|+0.662|
021:+0.000|+0.000|+0.657|+0.657|+0.000|+0.000|+0.098|+0.000|-0.006|-0.096|+0.000|+0.000|-0.005|+0.564|-0.000|+0.009|+0.094|-0.000|+0.000|+0.666|
022:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|-0.002|+0.000|-0.176|+0.003|-0.000|+0.000|-0.175|+0.662|+0.000|+0.002|-0.003|-0.000|+0.000|+0.662|
023:+0.000|+0.000|+0.660|+0.660|+0.000|+0.000|+0.005|+0.000|+0.174|-0.187|+0.000|+0.000|-0.009|+0.659|+0.000|-0.173|+0.000|-0.000|+0.000|+0.487|
